pair1,pair2,1h,5m,4h,1d,15m
EURUSD,EURUSD,100,100,100,100,100
EURUSD,CHFJPY,86.6,62.8,92.7,84.1,12.4
EURUSD,EURJPY,88.2,65.9,95.4,82.3,67.5
EURUSD,NZDJPY,40.3,68.8,73.6,79.1,82.7
EURUSD,AUDUSD,77.7,73.8,81.3,78.4,86
EURUSD,CADJPY,-10.1,58.7,87,73.2,-8.9
EURUSD,AUDJPY,39.6,66.3,87.3,72.8,60.2
EURUSD,NZDUSD,76.3,60.3,52.4,72.3,91.6
EURUSD,GBPUSD,77.2,53.4,81.3,69.4,37.9
EURUSD,GBPJPY,46.4,49,88.6,67.8,-13.9
EURUSD,AUDNZD,1.9,16.8,79.2,47.2,-88.1
EURUSD,AUDCAD,84.4,28.2,-25.5,44.4,91.4
EURUSD,AUDCHF,-52.8,61.1,12.6,44.2,67.4
EURUSD,GBPCHF,-40.2,31.9,-10.7,34.6,-27.2
EURUSD,GBPCAD,64.6,-38.5,-44.5,33.9,-11.6
EURUSD,USDJPY,-61.6,27,47.7,27.8,-53.4
EURUSD,GBPNZD,14.3,-34.4,30.8,22.9,-92.5
EURUSD,EURCHF,54,50.9,90.6,17.6,90.5
EURUSD,NZDCHF,-50.1,55.8,-38,15.8,85.4
EURUSD,CADCHF,-80.7,49.1,48.1,14,-29.7
EURUSD,NZDCAD,66.9,2.6,-54,7.3,94.5
EURUSD,EURCAD,86.8,-34.2,6.9,-0.9,78.8
EURUSD,EURNZD,67.2,-35.1,62.6,-8.4,-67.2
EURUSD,GBPAUD,14.7,-59.5,-20.5,-13.4,-82.1
EURUSD,EURGBP,54.8,-2.8,56.5,-30,72.5
EURUSD,EURAUD,68,-51.6,32.4,-48,-8.4
EURUSD,USDCAD,-45.5,-61.5,-92.6,-84.5,-53.7
EURUSD,USDCHF,-98.4,-9.2,-98.5,-84.9,-90.2
CHFJPY,EURUSD,86.6,62.8,92.7,84.1,12.4
CHFJPY,CHFJPY,100,100,100,100,100
CHFJPY,EURJPY,97.6,87,99,92.8,77.6
CHFJPY,NZDJPY,54.3,65.7,66.5,70.5,44.2
CHFJPY,AUDUSD,69.5,65.6,66.9,65.9,10.7
CHFJPY,CADJPY,23.8,75.1,94.8,90.5,73.9
CHFJPY,AUDJPY,60.9,82.1,85.1,74.1,64
CHFJPY,NZDUSD,61.1,25.5,31,41.6,6.7
CHFJPY,GBPUSD,68.3,56.5,63.2,66.4,-5
CHFJPY,GBPJPY,64.2,79.5,85.3,77.6,55.8
CHFJPY,AUDNZD,20.8,60.5,86.8,59.4,1.4
CHFJPY,AUDCAD,67.1,33.1,-45.2,29.3,11.5
CHFJPY,AUDCHF,-44,68.2,-3.7,35,-6.9
CHFJPY,GBPCHF,-33.6,54.8,-30.3,36.6,-27.8
CHFJPY,GBPCAD,51.6,-21.1,-64.6,31,-17
CHFJPY,USDJPY,-17.7,80.6,75.2,63.1,72.9
CHFJPY,GBPNZD,21,11.2,34.4,44.8,-10.5
CHFJPY,EURCHF,43.6,62,81,7.5,-10.7
CHFJPY,NZDCHF,-49.8,33.9,-55.3,-14.1,-4.7
CHFJPY,CADCHF,-65.7,54.3,54.4,24.6,-26
CHFJPY,NZDCAD,42.7,-36.3,-70.5,-30.9,5.7
CHFJPY,EURCAD,70.6,-36.1,-8.2,-22.5,9.9
CHFJPY,EURNZD,63.8,-7.1,74.2,20.6,0.5
CHFJPY,GBPAUD,12,-44,-21.6,-3.1,-17.8
CHFJPY,EURGBP,45.6,-28,69.7,-35.8,16.3
CHFJPY,EURAUD,56.3,-57.1,44,-40.4,-0.6
CHFJPY,USDCAD,-47.4,-51.1,-91.4,-82.8,-6.3
CHFJPY,USDCHF,-85.7,34.7,-92.5,-75.5,-33.7
EURJPY,EURUSD,88.2,65.9,95.4,82.3,67.5
EURJPY,CHFJPY,97.6,87,99,92.8,77.6
EURJPY,EURJPY,100,100,100,100,100
EURJPY,NZDJPY,63,63.4,69.4,79.4,78.8
EURJPY,AUDUSD,73.3,65.8,71.3,77.8,54.5
EURJPY,CADJPY,26,80,95.6,93,49.3
EURJPY,AUDJPY,65.3,87.2,87.7,88.4,81
EURJPY,NZDUSD,68.8,19.3,35.8,43,55.2
EURJPY,GBPUSD,70.3,56.7,69.7,63.7,21.9
EURJPY,GBPJPY,66.7,85.9,89.3,80.3,38.9
EURJPY,AUDNZD,10.1,71.5,87.6,76.5,-48.3
EURJPY,AUDCAD,71,28.8,-42.5,49.7,59.6
EURJPY,AUDCHF,-36.5,78.3,2.8,59.9,35.1
EURJPY,GBPCHF,-27.9,69.1,-21.1,46.2,-26.7
EURJPY,GBPCAD,52.3,-23.4,-60.4,32.7,-8
EURJPY,USDJPY,-17.3,88.4,71.8,77.4,26.1
